gate_id,severity,domain,requirement,owner,due_date,status,wave1_readiness,user_action_required,estimated_duration,latest_start_date,evidence_location,evidence_sha256,verified_by,verified_at,expiry_or_review,next_action,notes
G-01,B1,主体,公司主体信息和统一社会信用代码可核验且与全部平台一致,用户本人/公司负责人,2026-08-02,待本人确认主体,名称经营范围建议和冻结表已备,是,现有主体0.5至2个工作日；新设或变更项目估算5至15个工作日,2026-07-28,docs/Release/wave1/01-entity-email-intake.md,,W08,2026-07-27,2026-08-02周审,本人选择主体并提供外部原始证据,不得填入推测编号
G-02,B1,主体,企业域名邮箱和公开可访问的网站可用且主体一致,用户本人/IT,2026-08-02,待本人配置,邮箱和DNS验收清单已备,是,0.5至2个工作日；DNS传播可能48小时,2026-07-29,docs/Release/wave1/01-entity-email-intake.md,,W08,2026-07-27,2026-08-02周审,配置同域邮箱官网主体页和MFA并保存测试证据,当前官网域名和投诉邮箱域名不一致
G-03,B1,Apple,D-U-N-S与Apple组织账号完成且法定信息一致,用户本人/法定授权人,2026-08-16,待本人查询和申请,D-U-N-S与Apple逐字段材料已备,是,D-U-N-S官方最多5个工作日加Apple同步2个工作日；Apple核验项目估算5至15个工作日,2026-07-29,docs/Release/wave1/02-duns-apple-organization-pack.md,,W08,2026-07-27,2026-08-02周审,先查重后申请D-U-N-S并在同步后提交Apple组织注册,申请中不等于会员生效
G-04,B1,构建,存在可提交的原生iOS和Android签名候选包,工程负责人/发布负责人,2026-09-06,已观察到缺口,非Wave1外部申请项,否,项目估算10至20个工作日,2026-08-01,repository-audit:no-native-mobile-project-or-package,,W08,2026-07-27,2026-08-02周审,冻结Bundle ID包名签名并生成真机可测候选包,当前仓库未发现原生工程
G-05,B0/B1,APP备案,目标iOS与Android包完成中国大陆APP备案且信息一致,用户本人/备案负责人,2026-08-23,待本人提交,APP备案材料和字段冻结表已备,是,准备2至5个工作日；材料齐全准确后官方最长20个工作日,2026-08-03,docs/Release/wave1/03-software-copyright-app-filing-pack.md,,W08,2026-07-27,2026-08-02周审,经接入商或分发平台真实提交并保存原始回执,不得伪造备案号
G-06,B1,知识产权,软件著作权或各平台明确接受的替代材料满足名称版本和主体要求,用户本人/知识产权代理,2026-08-23,待本人提交,软著申请和鉴别材料清单已备,是,准备2至5个工作日；官方自受理起最长60日,2026-07-29,docs/Release/wave1/03-software-copyright-app-filing-pack.md,,W08,2026-07-27,2026-08-02周审,2026-07-31前提交并保存受理原始状态,已进入09-30极限路径
G-07,B0,拟人化互动,拟人化互动安全评估路径明确且公开上线前完成适用义务,合规负责人/用户本人,2026-08-23,未核验,Wave1仅登记必须立即咨询未准备监管提交包,是,适用性意见项目估算2至5个工作日；主管流程无可依赖固定时限,2026-08-04,docs/Release/WAVE1_USER_ACTION_PACK.md,,W08,2026-07-27,2026-08-02周审,聘请专业律师并向所在地省级网信部门确认路径,人格聊天未关闭前仅内测
G-08,B0,算法与AI,拟人化互动算法备案及年度核验机制有正式证据,合规负责人/AI负责人,2026-08-23,未核验,Wave1仅登记启动要求未准备完整备案包,是,材料准备项目估算5至10个工作日；审核无项目可保证时限,2026-08-05,docs/Release/WAVE1_USER_ACTION_PACK.md,,W08,2026-07-27,2026-08-02周审,锁定算法后按主管部门真实流程办理,不得将咨询或提交写成批准
G-09,B0/B1,模型,实际模型备案登记服务合同和数据使用边界均可核验,合规负责人/AI负责人,2026-08-23,未核验,Wave1未取得提供商外部证据,是,提供商核验和合同项目估算2至10个工作日,2026-08-07,docs/Release/WAVE1_USER_ACTION_PACK.md,,W08,2026-07-27,2026-08-02周审,锁定生产模型地域并取得官方备案登记和DPA证据,不得沿用测试配置推断
G-10,B0/B2,隐私,隐私政策与真实数据地图SDK权限和第三方处理逐项一致,法务/隐私负责人,2026-08-23,已观察到缺口,Wave1权利模板可作为输入但法律文本未完成,部分,项目估算5至10个工作日,2026-08-10,app/privacy/page.tsx;docs/Release/wave1/05-photo-blind-test-authorization.md,,W08,2026-07-27,2026-08-02周审,完成数据地图PIPIA和法律文本重写,当前页面过于简略
